p,Method,rel_risk
100,10-NN,2.948741522632993
100,10-NN,2.9754355158027197
100,10-NN,3.0970166391623803
100,10-NN,2.657831634187259
100,10-NN,2.9304242949745998
100,10-NN,3.0894374671822096
100,10-NN,2.794197395253675
100,10-NN,2.7910045655093603
100,10-NN,2.813913215276938
100,10-NN,2.8992111501153905
100,10-NN,2.657148304379262
100,10-NN,2.7404856115619807
100,10-NN,2.7712719899673814
100,10-NN,2.7101356284719023
100,10-NN,2.8077894523149745
100,10-NN,2.7729248077783804
100,10-NN,2.4984281310610865
100,10-NN,2.7910141096878087
100,10-NN,2.8596368993239203
100,10-NN,2.623658898208701
100,10-NN,2.849644191263289
100,10-NN,2.6781931627520588
100,10-NN,2.8620621505085486
100,10-NN,2.813344295074695
100,10-NN,2.792224052147701
100,10-NN,2.4984108392993845
100,10-NN,2.4107947162664813
100,10-NN,2.8031951564294117
100,10-NN,2.8975300846796994
100,50-NN,2.381480666464533
100,50-NN,2.6173980589370673
100,50-NN,2.59429741771695
100,50-NN,2.417388783723073
100,50-NN,2.810063381572701
100,50-NN,2.461726971187674
100,50-NN,2.3365552571911055
100,50-NN,2.520203275730746
100,50-NN,3.0055520315289255
100,50-NN,2.5575954395661364
100,50-NN,2.8799720952594674
100,50-NN,2.4230778692155415
100,50-NN,2.5966918123163873
100,50-NN,2.5532437579103036
100,50-NN,2.427014237050423
100,50-NN,2.54281682337341
100,50-NN,2.6699571021766184
100,50-NN,2.5707473669341496
100,50-NN,2.7987344576209017
100,50-NN,2.5313715148102163
100,50-NN,2.794323167904482
100,50-NN,2.9126530804559967
100,50-NN,2.4313715197959946
100,50-NN,2.630762319107141
100,50-NN,2.343155057053362
100,50-NN,2.5670832771961725
100,50-NN,2.5584647664648266
100,50-NN,2.762120365831548
100,50-NN,2.4943916095337055
100,50-NN,2.6271509091735767
100,50-NN,2.3595518660250137
100,50-NN,2.652263631798551
100,50-NN,2.4909948242806963
100,50-NN,2.581970107576465
100,50-NN,2.4886831025878005
100,50-NN,2.6876874568197553
100,50-NN,2.6377471291496857
100,50-NN,2.3528206377569094
100,50-NN,2.5041099824017565
100,50-NN,2.3962695112738355
100,50-NN,2.4732507169923394
100,50-NN,2.6537228254024687
100,50-NN,2.595465860903551
100,50-NN,2.3500615446600848
100,50-NN,2.3567147610012404
100,50-NN,2.4306737950310655
100,50-NN,2.344713086503837
100,50-NN,2.3489464205437307
100,50-NN,2.502296083731654
100,50-NN,2.3938957338604276
100,"StochOptForest
(oracle)",1.5996397168544882
100,"StochOptForest
(oracle)",1.4945218573830559
100,"StochOptForest
(oracle)",1.5108386752053289
100,"StochOptForest
(oracle)",1.2508543693742629
100,"StochOptForest
(oracle)",1.8567575933757081
100,"StochOptForest
(oracle)",1.410199420161192
100,"StochOptForest
(oracle)",1.497607360931151
100,"StochOptForest
(oracle)",1.3149964308390565
100,"StochOptForest
(oracle)",1.7767434654710297
100,"StochOptForest
(oracle)",1.4378922262007028
100,"StochOptForest
(oracle)",1.7204002501716005
100,"StochOptForest
(oracle)",1.4052942193517675
100,"StochOptForest
(oracle)",1.6996900053136064
100,"StochOptForest
(oracle)",1.3463525995020706
100,"StochOptForest
(oracle)",1.472613738768121
100,"StochOptForest
(oracle)",1.6081843957252961
100,"StochOptForest
(oracle)",1.735202697808196
100,"StochOptForest
(oracle)",1.418754484534286
100,"StochOptForest
(oracle)",1.983838416593203
100,"StochOptForest
(oracle)",1.6092313414982509
100,"StochOptForest
(oracle)",1.9231375959849673
100,"StochOptForest
(oracle)",2.131444623245748
100,"StochOptForest
(oracle)",1.411918602644366
100,"StochOptForest
(oracle)",1.4316475220341776
100,"StochOptForest
(oracle)",1.3952067892961115
100,"StochOptForest
(oracle)",1.357772198395746
100,"StochOptForest
(oracle)",1.4523590016675558
100,"StochOptForest
(oracle)",1.3608737174247427
100,"StochOptForest
(oracle)",1.2370333965885565
100,"StochOptForest
(oracle)",1.5120931483814999
100,"StochOptForest
(oracle)",1.7288004856772428
